Protein,p_ID
MRPL17,p014092
NOL6,p014093
BMS1,p014094
HSDL2,p014095
RMDN1,p014096
NLRP13,p014097
PIP4K2A,p014098
PLIN4,p014099
PXDN,p014100
SRPR,p014101
PDCD11,p014102
EIF5AL1,p014103
DCAF13,p014104
ABHD14B,p014105
SLC2A9,p014106
NAGLU,p014107
RAI14,p014108
PAPOLB,p014109
TUBA3D,p014110
TUBGCP6,p014111
PTRHD1,p014112
SLC15A2,p014113
RNU12,p014114
FBXO9,p014115
ACAP2,p014116
SCARNA22,p014117
B3GALT1,p014118
REXO1,p014119
Ktn1,p014120
Lep,p014121
Clu,p014122
MYF5,p014123
Rab6a,p014124
Rabgef1,p014125
Gdi2,p014126
SELE,p014127
Pdcd6,p014128
RIC8B,p014129
Pou3f4,p014130
wg,p014131
SLC4A7,p014132
Nfe2,p014133
IL27,p014134
RFX7,p014135
CLNK,p014136
SHD,p014137
SHE,p014138
Cask,p014139
PLEKHS1,p014140
PLEKHB1,p014141
RBP7,p014142
TMEM128,p014143
TSPAN2,p014144
VSTM2L,p014145
DCAF12L1,p014146
ZNF767P,p014147
PLXNA1,p014148
daf-4,p014149
Daxx,p014150
N,p014151
KBTBD6,p014152
ANKRD27,p014153
CARD16,p014154
Cacybp,p014155
Dynlt1,p014156
MAGEE2,p014157
FBXO21,p014158
PDLIM2,p014159
LSP1,p014160
Agtr2,p014161
ptpA,p014162
Uvrag,p014163
Inadl,p014164
Plekhg5,p014165
Mpp5,p014166
CEP152,p014167
HIST1H2BG,p014168
CC2D2A,p014169
CEP128,p014170
RPGRIP1L,p014171
SCLT1,p014172
B9D2,p014173
MKS1,p014174
TCTN2,p014175
CEP104,p014176
CEP89,p014177
CNTRL,p014178
NIN,p014179
CEP83,p014180
POC5,p014181
EVC2,p014182
TCTN1,p014183
TMEM17,p014184
dbp3,p014185
CELA3A,p014186
TIMM23B,p014187
C1QTNF6,p014188
RAB39B,p014189
PIK3AP1,p014190
ARL14EP,p014191
ZG16B,p014192
TTC32,p014193
TMEM174,p014194
NOL4L,p014195
NRG4,p014196
ITPRIPL1,p014197
DPPA2,p014198
PPP1R2P3,p014199
OLIG3,p014200
ZNF385C,p014201
SMIM14,p014202
CYB561A3,p014203
CEP170P1,p014204
NATD1,p014205
PPP2R3B,p014206
MORN3,p014207
NBPF22P,p014208
CAGE1,p014209
PKD1P1,p014210
CCDC36,p014211
GLIDR,p014212
SUMO1P1,p014213
CT45A5,p014214
MYF6,p014215
SGTB,p014216
CXorf57,p014217
DMRTB1,p014218
FNDC3B,p014219
C1orf50,p014220
TMEM14B,p014221
ATP6V1E2,p014222
NDUFS5,p014223
NDUFA11,p014224
PKIA,p014225
LAMB3,p014226
PCDH1,p014227
TIGD6,p014228
MYO19,p014229
ATL2,p014230
GTSE1,p014231
ARX,p014232
CFAP97,p014233
GOLT1B,p014234
DNAJC11,p014235
SAMD1,p014236
MZT1,p014237
YIPF5,p014238
MBOAT1,p014239
SLC33A1,p014240
CTDSPL2,p014241
KIF14,p014242
TFEB,p014243
PCDHB15,p014244
NEFM,p014245
SUCO,p014246
PCDH7,p014247
KIF21A,p014248
ZNF526,p014249
MYH13,p014250
KIAA1107,p014251
TUBGCP5,p014252
C10orf2,p014253
KIF18A,p014254
SPATS2L,p014255
C10orf12,p014256
NLRP5,p014257
RBM45,p014258
JRKL,p014259
REEP5,p014260
SETD4,p014261
FGD1,p014262
VWA9,p014263
MORC3,p014264
ETAA1,p014265
FAM178A,p014266
KIF24,p014267
NETO2,p014268
IP6K3,p014269
SLC16A6,p014270
BOD1L1,p014271
QSOX2,p014272
RAB4B,p014273
NEIL3,p014274
SOX17,p014275
KRBOX4,p014276
RGMA,p014277
PRSS12,p014278
MAU2,p014279
KIF3C,p014280
AK7,p014281
SAMD9,p014282
Calml3,p014283
Ankfy1,p014284
Myh10,p014285
Kcnk1,p014286
Fbl,p014287
Rrbp1,p014288
Zbtb48,p014289
Ncbp2,p014290
Myh9,p014291
Myo1c,p014292
Tpm1,p014293
Lima1,p014294
Tmod3,p014295
2510003E04Rik,p014296
Flot1,p014297
Flot2,p014298
Coro1c,p014299
Tmed10,p014300
Flnb,p014301
Bcl7c,p014302
Ruvbl2,p014303
Smarcc1,p014304
Junb,p014305
Srsf1,p014306
Sesn2,p014307
Fus,p014308
Ufl1,p014309
Rcc1,p014310
Tpm4,p014311
Atrx,p014312
Eif3i,p014313
Srp72,p014314
Brwd3,p014315
Lgals3bp,p014316
Kif13b,p014317
Rfx5,p014318
Tnpo1,p014319
Mcm3,p014320
Ppp1cb,p014321
Uso1,p014322
Sec24c,p014323
Itga5,p014324
Ppp1r3b,p014325
Aifm1,p014326
Tox4,p014327
Vps4b,p014328
Tecpr2,p014329
Bag2,p014330
Atp7a,p014331
Prkci,p014332
Dennd6a,p014333
Itgb1,p014334
Rab11a,p014335
Hax1,p014336
Kifc1,p014337
AI314180,p014338
Ube2k,p014339
Mus81,p014340
Sept9,p014341
Jup,p014342
Tnks2,p014343
Fbxw11,p014344
Nhsl1,p014345
Sumo3,p014346
Cnot2,p014347
Gpkow,p014348
Stmn1,p014349
Chmp6,p014350
Cdc37,p014351
Ncstn,p014352
Sacm1l,p014353
Cdh1,p014354
Get4,p014355
Osgep,p014356
Dync1li1,p014357
Hnrnpf,p014358
Tmed2,p014359
Tbc1d7,p014360
Atp2a2,p014361
C1qbp,p014362
Atp5a1,p014363
Hspa14,p014364
Samm50,p014365
Spast,p014366
Vps28,p014367
Ptpn23,p014368
Wbp11,p014369
Tmem55a,p014370
Chmp4b,p014371
Ccdc9,p014372
Chaf1a,p014373
Gnpnat1,p014374
Set,p014375
Pcm1,p014376
Lrrcc1,p014377
Pdlim5,p014378
Hsph1,p014379
Prmt6,p014380
Pcgf1,p014381
Tuba3a,p014382
Scai,p014383
Rbm8a,p014384
Eif3e,p014385
Tgfbr1,p014386
Spcs2,p014387
Setdb1,p014388
Ppp6r1,p014389
Cbx7,p014390
Mapre1,p014391
Prkcz,p014392
Ppp6c,p014393
Akt2,p014394
Ndel1,p014395
Aff1,p014396
Cdc26,p014397
Immt,p014398
Ormdl1,p014399
Strn3,p014400
Max,p014401
Mtx1,p014402
Ccdc12,p014403
Sidt2,p014404
Ecd,p014405
Spire2,p014406
Otud5,p014407
Snap29,p014408
Nek1,p014409
Calu,p014410
Ccdc77,p014411
Baz2b,p014412
Wash,p014413
Mgp,p014414
Prkacb,p014415
Snrnp70,p014416
Dctn5,p014417
Dctn4,p014418
Actr1b,p014419
Tnks1bp1,p014420
Vangl1,p014421
Tapt1,p014422
Gmnn,p014423
Mllt1,p014424
Cct4,p014425
Cct8,p014426
Gnb1,p014427
Kif21b,p014428
Ppp4c,p014429
Wdr61,p014430
Wdr48,p014431
Tube1,p014432
Cul1,p014433
Bcas2,p014434
Ctnnbl1,p014435
Smek1,p014436
Sept6,p014437
Sept2,p014438
Sept11,p014439
Rab5b,p014440
Iqgap3,p014441
Med22,p014442
2310003H01Rik,p014443
Naa11,p014444
Cenph,p014445
Kif2c,p014446
Trp53bp1,p014447
Kif19a,p014448
Pabpc1,p014449
Wiz,p014450
Sestd1,p014451
Smo,p014452
Ranbp1,p014453
Tpx2,p014454
Cdk2ap1,p014455
Mbd2,p014456
Rab7,p014457
Vamp2,p014458
Cep85l,p014459
Cbx4,p014460
Rad54l,p014461
Trappc8,p014462
Evpl,p014463
Mtx2,p014464
Mast3,p014465
Chmp2a,p014466
Taok2,p014467
Insr,p014468
Kif1b,p014469
Rab11fip1,p014470
Prmt5,p014471
Smap1,p014472
Esrrb,p014473
Ptpn2,p014474
Cep250,p014475
Cep44,p014476
Psmb5,p014477
Pcdh1,p014478
Fam83d,p014479
Tyw3,p014480
M6pr,p014481
Gspt1,p014482
Msn,p014483
Tpi1,p014484
Sdccag8,p014485
Pkm,p014486
Cobll1,p014487
Dynlrb1,p014488
Isy1,p014489
Hnrnpa3,p014490
Kif20b,p014491
Lin7c,p014492
Dlgap4,p014493
Myl12a,p014494
Magoh,p014495
Odf2,p014496
Wipi2,p014497
Lmna,p014498
L3mbtl2,p014499
Smc3,p014500
Pten,p014501
Elavl1,p014502
Dlg5,p014503
Zbtb2,p014504
Oxnad1,p014505
Mphosph9,p014506
Tgs1,p014507
Fancl,p014508
Prdx1,p014509
Nelfa,p014510
Pxdc1,p014511
Kif5b,p014512
Sart3,p014513
Map3k12,p014514
Phospho1,p014515
Terf1,p014516
Klhl22,p014517
Kif2a,p014518
Tnks,p014519
Smc1a,p014520
Prkar2a,p014521
Espn,p014522
Herc2,p014523
Lrr1,p014524
Gtf2e2,p014525
Gtf2b,p014526
Vbp1,p014527
Gpsm1,p014528
Gtf3c2,p014529
Gtf3c3,p014530
Gtf3c4,p014531
Cxxc1,p014532
Kif18a,p014533
Fam60a,p014534
Fgfr1,p014535
Ypel5,p014536
Cyr61,p014537
Akap8,p014538
Myh3,p014539
Pank4,p014540
Ska1,p014541
Cdkn2aip,p014542
4932438A13Rik,p014543
Id2,p014544
Heatr2,p014545
Klhl21,p014546
Pqbp1,p014547
Asna1,p014548
Nfyc,p014549
Clspn,p014550
Ttll7,p014551
Batf3,p014552
Klc4,p014553
Klc3,p014554
Kif18b,p014555
Mbd5,p014556
Ewsr1,p014557
Pip4k2c,p014558
Sel1l,p014559
Tubgcp6,p014560
Pard6b,p014561
Pcbp2,p014562
Topbp1,p014563
Ppp2r3a,p014564
Slain1,p014565
Aldh4a1,p014566
Sart1,p014567
Kifc3,p014568
Slc6a8,p014569
Cep85,p014570
Fign,p014571
Erp44,p014572
Ccp110,p014573
Ezr,p014574
Cdk13,p014575
Kif7,p014576
Cdk5rap2,p014577
Mkln1,p014578
Ptbp1,p014579
Hsf1,p014580
Sept7,p014581
Cep104,p014582
Nfya,p014583
Prpf3,p014584
Dut,p014585
Smchd1,p014586
Trim32,p014587
Ssna1,p014588
Orc2,p014589
Gbf1,p014590
Pafah1b2,p014591
Ccser2,p014592
Ankrd26,p014593
Parg,p014594
Ptpn13,p014595
Pfdn2,p014596
Ncaph,p014597
Tmem109,p014598
Nme7,p014599
Anxa2,p014600
Exosc1,p014601
Rprd1b,p014602
Trip11,p014603
Ppp1r7,p014604
Ppp2r2d,p014605
Strip1,p014606
Ppp2r5c,p014607
Ppp2r2a,p014608
Ints4,p014609
Ankrd28,p014610
Prkar2b,p014611
Psmd6,p014612
Sars,p014613
Emc6,p014614
Bod1,p014615
Tardbp,p014616
Rtfdc1,p014617
Fbxo21,p014618
Setd3,p014619
Tbck,p014620
Kif22,p014621
Mtmr2,p014622
Vps25,p014623
Tubgcp5,p014624
Sptlc2,p014625
Kif3c,p014626
Poc1a,p014627
Lin28a,p014628
Dclre1b,p014629
Dicer1,p014630
Slitrk4,p014631
Tubgcp4,p014632
Clasp2,p014633
Vcpip1,p014634
Trappc11,p014635
Csde1,p014636
Mpp6,p014637
Amot,p014638
Chmp4c,p014639
Vim,p014640
Slain2,p014641
Iffo1,p014642
Mark2,p014643
Rabep2,p014644
Dda1,p014645
Map9,p014646
Blzf1,p014647
Crocc,p014648
Cenpq,p014649
Kif15,p014650
Emc3,p014651
Ncapg2,p014652
Mms19,p014653
Vps41,p014654
Cgn,p014655
Atg2a,p014656
Setd5,p014657
Emc1,p014658
Rab3gap1,p014659
Smc4,p014660
Ptms,p014661
Ten1,p014662
Syce2,p014663
Terf2,p014664
Vrk1,p014665
Setd2,p014666
Cxxc5,p014667
Snf8,p014668
Kdm5a,p014669
Arhgef17,p014670
Dlc1,p014671
Nr4a2,p014672
Cenpi,p014673
Ambra1,p014674
Nrip2,p014675
Tbc1d9b,p014676
Rabep1,p014677
MIOS,p014678
DEPDC5,p014679
Uchl5,p014680
FGF5,p014681
IL21,p014682
"""l(1)G0148""",p014683
Grik2,p014684
Slx4,p014685
RNF217,p014686
PARG,p014687
FBXW12,p014688
SP7,p014689
RNF207,p014690
FOXD4,p014691
FOXE1,p014692
FOXF1,p014693
FOXI2,p014694
FOXJ3,p014695
HEMGN,p014696
Tbrg1,p014697
IL17RD,p014698
AOC4P,p014699
stk38,p014700
FOXL1,p014701
usp16,p014702
Patz1,p014703
FOXN1,p014704
FOXO6,p014705
FKBP15,p014706
FOXQ1,p014707
ASXL3,p014708
GLIS3,p014709
LDLRAD3,p014710
neur,p014711
RNF165,p014712
HTN3,p014713
CACTIN,p014714
SLC25A38,p014715
SLC25A26,p014716
Cdk5,p014717
PAQR3,p014718
ZC3H12D,p014719
FBXO30,p014720
FBXO36,p014721
IRGM,p014722
sst2,p014723
CERKL,p014724
UL42,p014725
Kpna4,p014726
PPP1R26,p014727
RHOU,p014728
RNF170,p014729
Jag1,p014730
SLC22A11,p014731
FAM104A,p014732
GPR17,p014733
TBC1D30,p014734
SLC22A8,p014735
ABCG1,p014736
E6,p014737
Paf1,p014738
RNF152,p014739
HECTD2,p014740
MIR363,p014741
MIRLET7A1,p014742
VPS8,p014743
IFT74,p014744
TTC30A,p014745
TTC30B,p014746
IFT52,p014747
EDEM3,p014748
ESRRB,p014749
ATG1,p014750
CAT5,p014751
COQ9,p014752
USP27X,p014753
MAP7D3,p014754
EXD2,p014755
Uba52,p014756
ZNF618,p014757
UBR3,p014758
MTMR3,p014759
SELK,p014760
C17orf89,p014761
LYRM5,p014762
IVD,p014763
C7orf55,p014764
APOOL,p014765
CHCHD10,p014766
NDUFAF4,p014767
PPTC7,p014768
TAMM41,p014769
SPRYD4,p014770
CHCHD1,p014771
SUGCT,p014772
LACE1,p014773
COQ2,p014774
COQ10A,p014775
FAM136A,p014776
XPNPEP3,p014777
COQ10B,p014778
CECR5,p014779
LACTB,p014780
PHYHIPL,p014781
PRSS35,p014782
C6orf57,p014783
PREPL,p014784
Pdrg1,p014785
Cops5,p014786
TFF3,p014787
LIPG,p014788
UBIAD1,p014789
SOAT1,p014790
ALOX15,p014791
PLA2G6,p014792
UGT2B7,p014793
cib,p014794
Nfatc2,p014795
TRPA1,p014796
STH,p014797
KBTBD8,p014798
GATSL2,p014799
COA3,p014800
DCDC5,p014801
COP1,p014802
Zfp36,p014803
PPE34,p014804
Foxl2,p014805
EML4,p014806
NFAT5,p014807
PPAP2A,p014808
KLHL8,p014809
NGRN,p014810
FCER1G,p014811
Tak1,p014812
UGT1A6,p014813
UGT1A1,p014814
CYP2C2,p014815
RCSD1,p014816
MMS21,p014817
ANGPT2,p014818
TMEM258,p014819
C3orf17,p014820
SPATA5,p014821
FAM210A,p014822
C10orf76,p014823
PTAR1,p014824
TMEM165,p014825
LRIG2,p014826
ANKRD49,p014827
RBM48,p014828
DPB11,p014829
ompA,p014830
CARTPT,p014831
CA5A,p014832
SPI,p014833
CG1218,p014834
ATP6V0A2,p014835
Rnf126,p014836
GKN1,p014837
ATOH1,p014838
VANGL2,p014839
ENPP1,p014840
CLEC1B,p014841
KBTBD2,p014842
Dyrk1a,p014843
AQP4,p014844
CD207,p014845
CFHR5,p014846
CLDN19,p014847
CRYBB1,p014848
CYBRD1,p014849
EFHC1,p014850
FBLN5,p014851
FMO1,p014852
FMO3,p014853
LHFPL5,p014854
MGST2,p014855
NEUROG3,p014856
SLC29A3,p014857
SLC30A8,p014858
SLC5A11,p014859
ZDHHC9,p014860
ZNF624,p014861
Slc12a1,p014862
Ostm1,p014863
ZNF304,p014864
FUNDC1,p014865
SPOPL,p014866
UBE3B,p014867
tus,p014868
IFI27,p014869
LINC00673,p014870
RHBDD1,p014871
KCTD2,p014872
CACUL1,p014873
SDIM1,p014874
Pdgfrb,p014875
SLC16A1,p014876
Rnf138,p014877
DDIAS,p014878
PHLDB3,p014879
Trim31,p014880
Drosha,p014881
FGF14,p014882
CIDEC,p014883
PDP1,p014884
OXER1,p014885
TMEM106B,p014886
PRP38,p014887
SPP381,p014888
PMT4,p014889
SHC4,p014890
DUPD1,p014891
DUSP18,p014892
DUSP2,p014893
DUSP28,p014894
DUSP8,p014895
EYA4,p014896
MTMR1,p014897
PDP2,p014898
PPM1H,p014899
PPM1J,p014900
PPM1M,p014901
PTPDC1,p014902
PTPRT,p014903
SBF2,p014904
STYX,p014905
TNS1,p014906
TPTE2,p014907
DUSP26,p014908
PTPRG,p014909
SNU13,p014910
EYA3,p014911
IFNA21,p014912
STRADB,p014913
TUBG2,p014914
NICN1,p014915
PCDHB11,p014916
PCDHA10,p014917
PCDHGB1,p014918
EMC9,p014919
CYP2A7,p014920
BPIFA1,p014921
ALPPL2,p014922
CORO6,p014923
AZIN2,p014924
PPIAL4G,p014925
TPSB2,p014926
IPPK,p014927
KCNC4,p014928
CGB2,p014929
PCDHB16,p014930
ARHGEF35,p014931
PADI3,p014932
UGT1A9,p014933
POTEB3,p014934
CYP4A22,p014935
FAM45A,p014936
KBTBD4,p014937
SLC2A14,p014938
ZKSCAN4,p014939
DCAF12L2,p014940
SLC35D3,p014941
KIAA0226L,p014942
KIF16B,p014943
PCDHGB4,p014944
ZNF764,p014945
CTRB2,p014946
SEC14L3,p014947
MAGEB10,p014948
PCDHGA5,p014949
PRAMEF17,p014950
BIN2,p014951
HSD3B2,p014952
LMAN2L,p014953
PDE1C,p014954
TRIML2,p014955
CBLN4,p014956
SPANXA1,p014957
PCDHA9,p014958
RWDD4,p014959
SPATA5L1,p014960
C7orf60,p014961
STEAP1B,p014962
PCDHA3,p014963
IFT43,p014964
USH1G,p014965
SYCE3,p014966
C6orf226,p014967
POLR3GL,p014968
TGIF2LY,p014969
OSER1,p014970
CPNE5,p014971
LILRB3,p014972
IFNA4,p014973
COBL,p014974
LEFTY1,p014975
VWA2,p014976
HLX,p014977
PSG8,p014978
ACOT2,p014979
SLC9A6,p014980
TMEM184B,p014981
TBCCD1,p014982
RIPPLY1,p014983
CNKSR3,p014984
ZNF556,p014985
DOCK5,p014986
EIF1AY,p014987
CYB5D2,p014988
NPAS1,p014989
TGM4,p014990
FAM13A,p014991
TBL1Y,p014992
TNNI2,p014993
KERA,p014994
FERD3L,p014995
SLC25A25,p014996
CNGA3,p014997
LRRC8B,p014998
C16orf87,p014999
SLC22A16,p015000
HAL,p015001
MSRB3,p015002
KIF2B,p015003
KNOP1,p015004
SCN3B,p015005
C10orf71,p015006
PADI1,p015007
GHITM,p015008
UGT2A3,p015009
FLRT1,p015010
KLHL28,p015011
VWCE,p015012
RELL2,p015013
ITFG2,p015014
AGK,p015015
PHACTR2,p015016
KIZ,p015017
CAPN8,p015018
SLC23A3,p015019
LRRC4C,p015020
TMEM194A,p015021
TMEM9B,p015022
ZNF550,p015023
PRR20E,p015024
CRAMP1L,p015025
ALOXE3,p015026
ZCRB1,p015027
FAM174A,p015028
ZNF428,p015029
GJB7,p015030
PODN,p015031
TECPR2,p015032
WNT7A,p015033
RELL1,p015034
CHSY3,p015035
SLC13A2,p015036
TSHB,p015037
CCDC69,p015038
FAM167A,p015039
CNOT11,p015040
FAM221B,p015041
PCDHB7,p015042
SCFD2,p015043
ARHGEF38,p015044
MATN4,p015045
FAM71F2,p015046
LGALS7,p015047
MFF,p015048
KANK4,p015049
APOBEC3D,p015050
POTEC,p015051
LRRC49,p015052
CTAGE6,p015053
BSPRY,p015054
STXBP6,p015055
TSPAN11,p015056
DEFA1,p015057
DEFB104A,p015058
PDK4,p015059
PLEKHG6,p015060
GBP5,p015061
TH,p015062
LYG2,p015063
TMEM63A,p015064
EPHA1,p015065
IL13RA2,p015066
DKK4,p015067
PCDHA12,p015068
TMEM200A,p015069
PLA2G10,p015070
TCTEX1D2,p015071
ZNF576,p015072
C5orf24,p015073
IL17RE,p015074
HAO2,p015075
MAOA,p015076
KIAA0355,p015077
CDCP1,p015078
SLC25A43,p015079
PIANP,p015080
DPEP3,p015081
TYW3,p015082
FAM117B,p015083
C6orf141,p015084
TMEM30B,p015085
ALOX15B,p015086
VSIG1,p015087
P2RX1,p015088
GPR156,p015089
FXYD1,p015090
TUBE1,p015091
MARVELD2,p015092
FRMD1,p015093
ZNF324B,p015094
EPSTI1,p015095
MAP7D2,p015096
FADS3,p015097
SPATA6,p015098
GPRC5C,p015099
SLC6A15,p015100
C1orf106,p015101
BBS12,p015102
MGME1,p015103
MBLAC2,p015104
MISP,p015105
ZBTB39,p015106
IQCC,p015107
MANSC1,p015108
ADAM33,p015109
NELL2,p015110
CLEC3A,p015111
DHH,p015112
CHL1,p015113
ALS2,p015114
PCDH12,p015115
CDH13,p015116
FAM222A,p015117
GRAMD1B,p015118
HTR3A,p015119
ACOT12,p015120
GPR21,p015121
C4orf26,p015122
RAB23,p015123
SCGB1D1,p015124
SEMG2,p015125
KLHL6,p015126
SCGB1D4,p015127
TMEM206,p015128
GPR161,p015129
FZD10,p015130
SYBU,p015131
COX7A2,p015132
DKK3,p015133
HIST1H1T,p015134
C19orf45,p015135
RNASE3,p015136
DPYS,p015137
CACNG5,p015138
LRRC15,p015139
NPB,p015140
AMZ1,p015141
TSPYL6,p015142
OXT,p015143
KIAA1467,p015144
FAM19A3,p015145
DIRAS2,p015146
ERMAP,p015147
SLC39A5,p015148
PAPLN,p015149
CAPN6,p015150
CST7,p015151
N6AMT2,p015152
HBM,p015153
C5AR2,p015154
GCHFR,p015155
CAPN13,p015156
TM4SF18,p015157
SIGLECL1,p015158
COLQ,p015159
HPS6,p015160
RERG,p015161
NCR3LG1,p015162
LRRCC1,p015163
FOXRED1,p015164
CFP,p015165
PRIMPOL,p015166
KLRG2,p015167
ALX3,p015168
HN1L,p015169
NUS1,p015170
RIBC1,p015171
CCNYL1,p015172
SERPINB13,p015173
RSPRY1,p015174
ZNF704,p015175
KMO,p015176
IL1RL2,p015177
XPR1,p015178
GTSF1,p015179
GGT5,p015180
IFNE,p015181
CCSER1,p015182
BCKDHB,p015183
PCDH20,p015184
DSCR4,p015185
ZNF394,p015186
TMC7,p015187
SPPL2B,p015188
ZNF563,p015189
MSS51,p015190
FECH,p015191
GPR114,p015192
SLCO1B1,p015193
IGFBP1,p015194
LRRC57,p015195
SLC16A11,p015196
ZNF816,p015197
MOCS3,p015198
CPA5,p015199
FMN1,p015200
MUC20,p015201
IZUMO1,p015202
FAM78B,p015203
RETN,p015204
ZNF695,p015205
HTRA4,p015206
SYPL1,p015207
ZNF214,p015208
CLCC1,p015209
HENMT1,p015210
DEFB1,p015211
SEC11C,p015212
ZNF669,p015213
EXOC3L2,p015214
CRISP2,p015215
GNAT1,p015216
CFAP36,p015217
SMYD1,p015218
SLC39A8,p015219
OLR1,p015220
ZNF354C,p015221
GLB1L2,p015222
APCDD1,p015223
VNN2,p015224
ZMAT5,p015225
KIAA2013,p015226
SCARA5,p015227
HS3ST2,p015228
CATSPERD,p015229
SLC22A9,p015230
IL31RA,p015231
XAGE1B,p015232
PKD2L2,p015233
IFIT1B,p015234
ZPLD1,p015235
S1PR2,p015236
B4GAT1,p015237
CCR2,p015238
ZNF311,p015239
TMEM108,p015240
SERPINA12,p015241
ZNF610,p015242
CLEC2D,p015243
PROZ,p015244
MGAT4C,p015245
BTNL3,p015246
ZSWIM2,p015247
ZNF491,p015248
APLNR,p015249
INSL6,p015250
FAM131B,p015251
ANO6,p015252
SDF2,p015253
SLC12A8,p015254
SMCO1,p015255
FCF1,p015256
DACH2,p015257
TGM5,p015258
BHLHA15,p015259
C1orf85,p015260
ST6GAL1,p015261
UXS1,p015262
PNPLA5,p015263
ENPP7,p015264
SLC34A2,p015265
SSMEM1,p015266
C9orf139,p015267
HAPLN3,p015268
ATG2B,p015269
UPK1A,p015270
GSTT1,p015271
C11orf24,p015272
NOL9,p015273
SLC39A9,p015274
C3AR1,p015275
LRRIQ1,p015276
FAM81B,p015277
NRROS,p015278
TBC1D14,p015279
LINC01587,p015280
SNN,p015281
SLC15A1,p015282
TMEM5,p015283
REG4,p015284
ZFPL1,p015285
SEMA7A,p015286
SLC10A7,p015287
LYPD4,p015288
SLCO6A1,p015289
C16orf71,p015290
GABRA6,p015291
ZNF512,p015292
GDF10,p015293
SMPD3,p015294
FPR2,p015295
PMEL,p015296
ARHGAP22,p015297
GAST,p015298
XKRX,p015299
AMACR,p015300
BPIFB1,p015301
PLXDC2,p015302
SPINK4,p015303
DPH7,p015304
CPLX4,p015305
FAM196A,p015306
CD1E,p015307
REEP1,p015308
ANGPTL2,p015309
ARHGAP36,p015310
MYO1F,p015311
CCDC83,p015312
NAA40,p015313
CYP8B1,p015314
MINPP1,p015315
ACBD7,p015316
PARP12,p015317
SLC17A2,p015318
BRINP2,p015319
RSBN1L,p015320
MFSD4,p015321
ILDR1,p015322
ASTE1,p015323
IFNB1,p015324
C17orf80,p015325
APOM,p015326
CHST14,p015327
FGFRL1,p015328
ITM2A,p015329
SLC2A12,p015330
MMP26,p015331
CHRDL1,p015332
ADAM21,p015333
LRRC8E,p015334
CELA1,p015335
ASIC4,p015336
INTU,p015337
LPAR4,p015338
TUSC3,p015339
LYZL2,p015340
NCEH1,p015341
SLC39A12,p015342
RAET1E,p015343
WDR49,p015344
GLB1,p015345
NRN1,p015346
BRINP3,p015347
AP3M2,p015348
LZIC,p015349
GPC1,p015350
ANGPTL3,p015351
SLC20A1,p015352
PDGFD,p015353
LRRC27,p015354
ST8SIA4,p015355
PLB1,p015356
TLDC2,p015357
TGDS,p015358
TM2D2,p015359
ARMCX4,p015360
C16orf58,p015361
PIGA,p015362
HMGCLL1,p015363
FAM19A1,p015364
ZSCAN29,p015365
LBHD1,p015366
PRG3,p015367
RFTN2,p015368
IFNA10,p015369
MARCH9,p015370
ZBBX,p015371
DCDC2B,p015372
MAS1,p015373
OMD,p015374
TMPRSS11B,p015375
NELL1,p015376
TULP2,p015377
SH3BGR,p015378
RASGEF1C,p015379
NHSL2,p015380
LOXL3,p015381
CHST6,p015382
ZBTB12,p015383
SLC44A5,p015384
PCDHAC2,p015385
ZNF431,p015386
ADAM32,p015387
CELF5,p015388
ZIM2,p015389
C12orf74,p015390
C1orf162,p015391
TLR5,p015392
CLEC14A,p015393
LYPD1,p015394
CHGA,p015395
FAM126A,p015396
IDO2,p015397
HARBI1,p015398
ST3GAL2,p015399
IL20RA,p015400
SFTA2,p015401
SHPK,p015402
RNASE1,p015403
PNLDC1,p015404
LILRB4,p015405
AFM,p015406
TACR1,p015407
RHCG,p015408
MTG2,p015409
IL17RC,p015410
NLGN4Y,p015411
ADAMTSL1,p015412
PHOSPHO2,p015413
ITGA9,p015414
CASC1,p015415
SLC5A5,p015416
ADAM30,p015417
NPY2R,p015418
CDH19,p015419
CFAP46,p015420
LRRTM1,p015421
SLC4A8,p015422
STS,p015423
SPATA19,p015424
TMCO3,p015425
TMEM213,p015426
CRYL1,p015427
GRPR,p015428
LRRC32,p015429
DEFB127,p015430
TGM3,p015431
ARHGAP19,p015432
NMNAT3,p015433
INSL5,p015434
VSIG8,p015435
CCDC103,p015436
AVIL,p015437
LRRC36,p015438
ASPRV1,p015439
GCNT1,p015440
SLC22A13,p015441
CASS4,p015442
BCL2L15,p015443
C7orf69,p015444
TMEM70,p015445
BCO1,p015446
C10orf107,p015447
RBP4,p015448
C12orf49,p015449
SYPL2,p015450
OTC,p015451
CDHR5,p015452
KIAA1161,p015453
MRPS15,p015454
NFATC2IP,p015455
KDELR3,p015456
MILR1,p015457
ENTPD7,p015458
TRHDE,p015459
DEFB121,p015460
CSN1S1,p015461
ST8SIA3,p015462
LRRC4,p015463
KLHL33,p015464
TRIM16L,p015465
UST,p015466
CCDC65,p015467
GPRC5B,p015468
CYP2B6,p015469
CLMP,p015470
LYZL1,p015471
IGFBP6,p015472
LRRC10,p015473
FBXO40,p015474
PON1,p015475
ZNF843,p015476
CYP4B1,p015477
C1orf228,p015478
KLHL10,p015479
RFTN1,p015480
RSBN1,p015481
ZNF211,p015482
GBP6,p015483
ZNF416,p015484
SMOX,p015485
ATP6V0E1,p015486
LRG1,p015487
FUT1,p015488
