Protein,p_ID
RBM47,p000704
PSEN1,p000705
AMPD1,p000706
C2,p000707
DDB2,p000708
TOR1A,p000709
ETFA,p000710
FANCA,p000711
FTL,p000712
GALK1,p000713
GP1BA,p000714
GPI,p000715
ITGB4,p000716
KRT18,p000717
LIG1,p000718
MEN1,p000719
PGAM2,p000720
PKP1,p000721
TNNT2,p000722
CTSK,p000723
APRT,p000724
IL11,p000725
ACHE,p000726
ATP1A1,p000727
BLVRB,p000728
CACNB3,p000729
CRAT,p000730
GRIN2D,p000731
GRINA,p000732
IGF1R,p000733
ITGB7,p000734
SERPINF2,p000735
RARG,p000736
RPL13,p000737
RPL18,p000738
STX16,p000739
NDUFV3,p000740
USP16,p000741
GMPR2,p000742
C4A,p000743
RECQL5,p000744
LRRC29,p000745
DNM1,p000746
DNM2,p000747
TTYH1,p000748
HIST2H3A,p000749
YBEY,p000750
TCEAL3,p000751
SPOP,p000752
CSDE1,p000753
C7orf59,p000754
SPDYC,p000755
CKAP5,p000756
LBX2,p000757
MEIS3,p000758
FAM102B,p000759
CLEC18B,p000760
MCRS1,p000761
SLC3A2,p000762
NUDT17,p000763
CTU2,p000764
KLK6,p000765
EXOC7,p000766
CXorf40B,p000767
ETFB,p000768
TM9SF1,p000769
SLX1A,p000770
RPS11,p000771
LLGL2,p000772
HDAC5,p000773
UFSP1,p000774
SULT1A3,p000775
RCCD1,p000776
OS9,p000777
OPA3,p000778
MUC1,p000779
CORO1B,p000780
RPS21,p000781
ASPDH,p000782
BRMS1,p000783
VRK3,p000784
RPS24,p000785
RPS25,p000786
KCTD21,p000787
AHDC1,p000788
ZNF16,p000789
COX19,p000790
SPDYE2,p000791
TRMT11,p000792
CRELD1,p000793
ATAT1,p000794
BOLA2B,p000795
UBE2V1,p000796
C17orf62,p000797
TRPT1,p000798
HIST1H4D,p000799
NHP2,p000800
SRA1,p000801
AGBL5,p000802
PRIC285,p000803
NBPF9,p000804
EIF3C,p000805
SLC38A10,p000806
GOLGA6A,p000807
ATP6V1C2,p000808
RGS19,p000809
CHTF8,p000810
NBPF10,p000811
ARAP1,p000812
C16orf13,p000813
RUFY1,p000814
CRCP,p000815
P2RY11,p000816
HSF4,p000817
BCL2L12,p000818
KIAA0895L,p000819
HIST2H2AA3,p000820
MLPH,p000821
MAZ,p000822
LTBP4,p000823
PVRL2,p000824
REC8,p000825
SCYL1,p000826
UBTF,p000827
MYH14,p000828
SLC25A45,p000829
TAC4,p000830
APH1A,p000831
TMEM134,p000832
XBP1,p000833
RASA4,p000834
CCDC88C,p000835
ZNF629,p000836
UNK,p000837
LMTK3,p000838
HSF5,p000839
C11orf94,p000840
LRRC4B,p000841
PABPN1L,p000842
TNRC18,p000843
CCDC159,p000844
PXN,p000845
KRT80,p000846
DMPK,p000847
ZGPAT,p000848
CHMP1A,p000849
C10orf26,p000850
TMEM22,p000851
GPR89A,p000852
