Symbol,LncBook ID,NONCODE ID,Ensemble ID,RefSeq ID,l_ID
RPI002_004925,-,NONHSAG011080,-,-,l024854
RPI002_004926,-,NONHSAG029784,-,-,l024855
NONHSAG051029,-,NONHSAG051029,-,-,l024856
RPI002_004928,-,NONHSAG051026,-,-,l024857
NONHSAG035294,-,NONHSAG035294,-,-,l024858
NONHSAG035291,-,NONHSAG035291,-,-,l024859
NONHSAG035299,-,NONHSAG035299,-,-,l024860
NONHSAG020205,-,NONHSAG020205,-,-,l024861
NONHSAG028434,-,NONHSAG028434,-,-,l024862
NONHSAG045074,-,NONHSAG045074,-,-,l024863
NONHSAG045079,-,NONHSAG045079,-,-,l024864
NONHSAG037637,-,NONHSAG037637,-,-,l024865
NONHSAG055023,-,NONHSAG055023,-,-,l024866
NONHSAG028239,-,NONHSAG028239,-,-,l024867
RPI002_004944,-,NONHSAG051784,-,-,l024868
NONHSAG030365,-,NONHSAG030365,-,-,l024869
RPI002_004941,-,NONHSAG049552,-,-,l024870
NONHSAG030363,-,NONHSAG030363,-,-,l024871
RPI002_004943,-,NONHSAG049553,-,-,l024872
NONHSAG040793,-,NONHSAG040793,-,-,l024873
NONHSAG040797,-,NONHSAG040797,-,-,l024874
NONHSAG044035,-,NONHSAG044035,-,-,l024875
RPI002_004948,-,NONHSAG031106,-,-,l024876
NONHSAG031105,-,NONHSAG031105,-,-,l024877
RPI002_004950,-,NONHSAG043114,-,-,l024878
RPI002_004951,-,NONHSAG043269,-,-,l024879
NONHSAG037991,-,NONHSAG037991,-,-,l024880
NONHSAG042799,-,NONHSAG042799,-,-,l024881
NONHSAG042798,-,NONHSAG042798,-,-,l024882
NONHSAG043116,-,NONHSAG043116,-,-,l024883
NONHSAG042791,-,NONHSAG042791,-,-,l024884
NONHSAG042793,-,NONHSAG042793,-,-,l024885
NONHSAG042794,-,NONHSAG042794,-,-,l024886
NONHSAG042796,-,NONHSAG042796,-,-,l024887
NONHSAG047567,-,NONHSAG047567,-,-,l024888
NONHSAG055152,-,NONHSAG055152,-,-,l024889
NONHSAG015280,-,NONHSAG015280,-,-,l024890
NONHSAG053733,-,NONHSAG053733,-,-,l024891
NONHSAG053737,-,NONHSAG053737,-,-,l024892
NONHSAG009159,-,NONHSAG009159,-,-,l024893
RPI002_004966,-,NONHSAG054705,-,-,l024894
NONHSAG029200,-,NONHSAG029200,-,-,l024895
RPI002_004968,-,NONHSAG053083,-,-,l024896
NONHSAG053082,-,NONHSAG053082,-,-,l024897
NONHSAG012772,-,NONHSAG012772,-,-,l024898
NONHSAG028175,-,NONHSAG028175,-,-,l024899
NONHSAG007992,-,NONHSAG007992,-,-,l024900
NONHSAG007994,-,NONHSAG007994,-,-,l024901
NONHSAG010848,-,NONHSAG010848,-,-,l024902
NONHSAG010849,-,NONHSAG010849,-,-,l024903
NONHSAG000417,-,NONHSAG000417,-,-,l024904
NONHSAG000413,-,NONHSAG000413,-,-,l024905
RPI002_004978,-,NONHSAG014697,-,-,l024906
NONHSAG014696,-,NONHSAG014696,-,-,l024907
NONHSAG014695,-,NONHSAG014695,-,-,l024908
NONHSAG044955,-,NONHSAG044955,-,-,l024909
NONHSAG015892,-,NONHSAG015892,-,-,l024910
NONHSAG015893,-,NONHSAG015893,-,-,l024911
NONHSAG051629,-,NONHSAG051629,-,-,l024912
NONHSAG015566,-,NONHSAG015566,-,-,l024913
NONHSAG004418,-,NONHSAG004418,-,-,l024914
RPI002_004988,-,NONHSAG012698,-,-,l024915
NONHSAG004411,-,NONHSAG004411,-,-,l024916
NONHSAG004413,-,NONHSAG004413,-,-,l024917
NONHSAG003295,-,NONHSAG003295,-,-,l024918
NONHSAG003294,-,NONHSAG003294,-,-,l024919
NONHSAG003293,-,NONHSAG003293,-,-,l024920
RPI002_004994,-,NONHSAG008749,-,-,l024921
RPI002_004995,-,NONHSAG012030,-,-,l024922
NONHSAG003879,-,NONHSAG003879,-,-,l024923
NONHSAG007148,-,NONHSAG007148,-,-,l024924
NONHSAG007145,-,NONHSAG007145,-,-,l024925
NONHSAG005435,-,NONHSAG005435,-,-,l024926
NONHSAG005434,-,NONHSAG005434,-,-,l024927
NONHSAG005438,-,NONHSAG005438,-,-,l024928
NONHSAG013126,-,NONHSAG013126,-,-,l024929
NONHSAG013128,-,NONHSAG013128,-,-,l024930
NONHSAG051728,-,NONHSAG051728,-,-,l024931
NONHSAG026505,-,NONHSAG026505,-,-,l024932
NONHSAG010473,-,NONHSAG010473,-,-,l024933
NONHSAG010472,-,NONHSAG010472,-,-,l024934
NONHSAG010479,-,NONHSAG010479,-,-,l024935
NONHSAG010478,-,NONHSAG010478,-,-,l024936
NONHSAG013872,-,NONHSAG013872,-,-,l024937
NONHSAG013871,-,NONHSAG013871,-,-,l024938
NONHSAG013875,-,NONHSAG013875,-,-,l024939
NONHSAG013876,-,NONHSAG013879,-,-,l024940
NONHSAG010789,-,NONHSAG010789,-,-,l024941
