NoncodeGeneID,l_ID
NONMMUG002179.2,l00652
NONMMUG002180.2,l00653
NONMMUG049239.1,l00654
NONMMUG002181.2,l00655
NONMMUG002184.2,l00656
NONMMUG002190.2,l00657
NONMMUG002192.2,l00658
NONMMUG002193.2,l00659
NONMMUG002195.2,l00660
NONMMUG002196.2,l00661
NONMMUG002197.2,l00662
NONMMUG002198.2,l00663
NONMMUG002199.2,l00664
NONMMUG002200.2,l00665
NONMMUG002201.2,l00666
NONMMUG002202.2,l00667
NONMMUG002203.2,l00668
NONMMUG002204.2,l00669
NONMMUG002205.2,l00670
NONMMUG002206.2,l00671
NONMMUG002207.2,l00672
NONMMUG002208.2,l00673
NONMMUG002210.2,l00674
NONMMUG002212.2,l00675
NONMMUG002213.2,l00676
NONMMUG002214.2,l00677
NONMMUG002215.2,l00678
NONMMUG047558.1,l00679
NONMMUG002217.2,l00680
NONMMUG000160.2,l00681
NONMMUG002224.2,l00682
NONMMUG002226.2,l00683
NONMMUG002228.2,l00684
NONMMUG002229.2,l00685
NONMMUG002230.2,l00686
NONMMUG002231.2,l00687
NONMMUG002232.2,l00688
NONMMUG049256.1,l00689
NONMMUG002233.2,l00690
NONMMUG002234.2,l00691
NONMMUG002235.2,l00692
NONMMUG002236.2,l00693
NONMMUG002237.2,l00694
NONMMUG002239.2,l00695
NONMMUG002238.2,l00696
NONMMUG002240.2,l00697
NONMMUG002241.2,l00698
NONMMUG002242.2,l00699
NONMMUG002244.2,l00700
NONMMUG000162.2,l00701
NONMMUG002249.2,l00702
NONMMUG000163.2,l00703
NONMMUG002263.2,l00704
NONMMUG002265.2,l00705
NONMMUG002266.2,l00706
NONMMUG002267.2,l00707
NONMMUG002268.2,l00708
NONMMUG000164.2,l00709
NONMMUG002270.2,l00710
NONMMUG002271.2,l00711
NONMMUG002273.2,l00712
NONMMUG002275.2,l00713
NONMMUG002278.2,l00714
NONMMUG002280.2,l00715
NONMMUG002285.2,l00716
NONMMUG002286.2,l00717
NONMMUG002287.2,l00718
NONMMUG002288.2,l00719
NONMMUG002290.2,l00720
NONMMUG096626.1,l00721
NONMMUG002294.2,l00722
NONMMUG002295.2,l00723
NONMMUG002297.3,l00724
NONMMUG002298.2,l00725
NONMMUG047581.1,l00726
NONMMUG047583.1,l00727
NONMMUG002303.2,l00728
NONMMUG002305.2,l00729
NONMMUG096627.1,l00730
NONMMUG049270.1,l00731
NONMMUG002308.2,l00732
NONMMUG002309.2,l00733
NONMMUG002310.2,l00734
NONMMUG002311.2,l00735
NONMMUG002312.2,l00736
NONMMUG002313.2,l00737
NONMMUG000165.2,l00738
NONMMUG002314.2,l00739
NONMMUG002315.2,l00740
NONMMUG087738.1,l00741
NONMMUG049282.1,l00742
NONMMUG002322.2,l00743
NONMMUG002323.2,l00744
NONMMUG000168.2,l00745
NONMMUG000167.2,l00746
NONMMUG002324.2,l00747
NONMMUG002327.3,l00748
NONMMUG000169.2,l00749
NONMMUG002333.2,l00750
NONMMUG002334.2,l00751
NONMMUG002335.2,l00752
NONMMUG002336.2,l00753
NONMMUG002337.2,l00754
NONMMUG002338.2,l00755
NONMMUG002339.2,l00756
NONMMUG002341.2,l00757
NONMMUG002342.2,l00758
NONMMUG049289.1,l00759
NONMMUG000170.2,l00760
NONMMUG000171.2,l00761
NONMMUG002344.2,l00762
NONMMUG002345.2,l00763
NONMMUG002346.2,l00764
NONMMUG002347.2,l00765
NONMMUG002348.2,l00766
NONMMUG002351.3,l00767
NONMMUG002352.2,l00768
NONMMUG002353.2,l00769
NONMMUG002354.2,l00770
NONMMUG046536.1,l00771
NONMMUG002357.2,l00772
NONMMUG002358.2,l00773
NONMMUG002359.2,l00774
NONMMUG002360.2,l00775
NONMMUG002361.2,l00776
NONMMUG002362.2,l00777
NONMMUG002365.2,l00778
NONMMUG002366.2,l00779
NONMMUG002367.2,l00780
NONMMUG002368.2,l00781
NONMMUG002369.2,l00782
NONMMUG002370.2,l00783
NONMMUG002374.2,l00784
NONMMUG002375.2,l00785
NONMMUG002376.2,l00786
NONMMUG002377.2,l00787
NONMMUG002378.2,l00788
NONMMUG002379.2,l00789
NONMMUG002380.2,l00790
NONMMUG002381.2,l00791
NONMMUG002382.2,l00792
NONMMUG002383.2,l00793
NONMMUG002393.2,l00794
NONMMUG000180.2,l00795
NONMMUG002394.2,l00796
NONMMUG002395.2,l00797
NONMMUG002399.2,l00798
NONMMUG000181.2,l00799
NONMMUG002402.2,l00800
NONMMUG002403.2,l00801
NONMMUG002405.2,l00802
NONMMUG002406.2,l00803
NONMMUG002408.2,l00804
NONMMUG002409.2,l00805
NONMMUG047618.2,l00806
NONMMUG002412.2,l00807
NONMMUG087819.1,l00808
NONMMUG000182.2,l00809
NONMMUG087743.1,l00810
NONMMUG002413.2,l00811
NONMMUG002416.2,l00812
NONMMUG002417.2,l00813
NONMMUG002422.2,l00814
NONMMUG002423.2,l00815
NONMMUG002424.2,l00816
NONMMUG047620.1,l00817
NONMMUG002429.3,l00818
NONMMUG047621.1,l00819
NONMMUG002432.2,l00820
NONMMUG002433.2,l00821
NONMMUG002434.2,l00822
NONMMUG002437.2,l00823
