NoncodeGeneID,tarName
NONMMUG001630.2,Fus
NONMMUG001631.2,Nova1
NONMMUG001631.2,Fus
NONMMUG001631.2,Tdp43
NONMMUG001632.2,Nova1
NONMMUG001632.2,Fus
NONMMUG001632.2,Tdp43
NONMMUG001633.2,Tardbp
NONMMUG001633.2,Fus
NONMMUG001633.2,Tdp43
NONMMUG001634.2,Fus
NONMMUG001634.2,Tdp43
NONMMUG001635.2,Tdp43
NONMMUG001635.2,Fus
NONMMUG001636.2,Upf1
NONMMUG001636.2,Fus
NONMMUG001636.2,Tdp43
NONMMUG001636.2,FMRP
NONMMUG048901.1,Upf1
NONMMUG048901.1,Fus
NONMMUG048901.1,Tdp43
NONMMUG048902.1,Fus
NONMMUG048902.1,Tdp43
NONMMUG048903.1,Tdp43
NONMMUG048903.1,Fus
NONMMUG048904.1,Fus
NONMMUG048904.1,Tdp43
NONMMUG048905.1,Fus
NONMMUG048905.1,Tdp43
NONMMUG048906.1,Fus
NONMMUG048906.1,Tdp43
NONMMUG048907.1,Tdp43
NONMMUG048907.1,Fus
NONMMUG048908.1,Tdp43
NONMMUG048908.1,Fus
NONMMUG048909.1,Tdp43
NONMMUG048909.1,Fus
NONMMUG048910.1,Fus
NONMMUG048910.1,Tdp43
NONMMUG048911.1,Fus
NONMMUG048911.1,Tdp43
NONMMUG048912.1,Fus
NONMMUG048912.1,Tdp43
NONMMUG048913.1,Tdp43
NONMMUG048913.1,Fus
NONMMUG048914.1,Tdp43
NONMMUG048914.1,Fus
NONMMUG048915.1,Fus
NONMMUG048915.1,Tdp43
NONMMUG048915.1,FMRP
NONMMUG048916.1,Fus
NONMMUG048916.1,Tdp43
NONMMUG048917.1,Fus
NONMMUG048917.1,Tdp43
NONMMUG048918.1,Fus
NONMMUG048918.1,Tdp43
NONMMUG048919.1,Fus
NONMMUG048919.1,Tdp43
NONMMUG048920.1,Tdp43
NONMMUG048920.1,Fus
NONMMUG048921.1,Fus
NONMMUG048921.1,Tdp43
NONMMUG048922.1,Tdp43
NONMMUG048922.1,Fus
NONMMUG048923.1,Tdp43
NONMMUG048923.1,Fus
NONMMUG048924.1,Fus
NONMMUG048924.1,Tdp43
NONMMUG048925.1,Tdp43
NONMMUG048925.1,Fus
NONMMUG048926.1,Tdp43
NONMMUG048926.1,Fus
NONMMUG047298.1,Tdp43
NONMMUG047298.1,Fus
NONMMUG047298.1,FMRP
NONMMUG048927.1,Tdp43
NONMMUG048927.1,Fus
NONMMUG048928.1,Tdp43
NONMMUG048928.1,Fus
NONMMUG048929.1,Fus
NONMMUG048929.1,Tdp43
NONMMUG048930.1,Tdp43
NONMMUG048930.1,Fus
NONMMUG048931.1,Fus
NONMMUG048931.1,Tdp43
NONMMUG048932.1,Fus
NONMMUG048932.1,Tdp43
NONMMUG048933.1,Fus
NONMMUG048933.1,Tdp43
NONMMUG048934.1,Fus
NONMMUG048934.1,Tdp43
NONMMUG048935.1,Fus
NONMMUG048935.1,Tdp43
NONMMUG048936.1,Upf1
NONMMUG048936.1,Tdp43
NONMMUG048936.1,Fus
NONMMUG048937.1,Upf1
NONMMUG048937.1,Tdp43
NONMMUG048937.1,Fus
NONMMUG048938.1,Tdp43
NONMMUG048938.1,Fus
NONMMUG048939.1,Upf1
NONMMUG048939.1,Fus
NONMMUG048939.1,Tdp43
NONMMUG048940.1,Fus
NONMMUG048940.1,Tdp43
NONMMUG048941.1,Tdp43
NONMMUG048941.1,Fus
NONMMUG048942.1,Tdp43
NONMMUG048942.1,Fus
NONMMUG048943.1,Fus
NONMMUG048945.1,Fus
NONMMUG048945.1,Tdp43
NONMMUG048946.1,Tdp43
NONMMUG048946.1,Fus
NONMMUG048947.1,Fus
NONMMUG048947.1,Tdp43
NONMMUG048948.1,Fus
NONMMUG048948.1,Tdp43
NONMMUG048949.1,Fus
NONMMUG048949.1,Tdp43
NONMMUG048950.1,Fus
NONMMUG048950.1,Tdp43
NONMMUG048951.1,Fus
NONMMUG048952.1,Fus
NONMMUG048952.1,Tdp43
NONMMUG048953.1,Fus
NONMMUG048953.1,Tdp43
NONMMUG048954.1,Fus
NONMMUG048954.1,Tdp43
NONMMUG048955.1,Fus
NONMMUG048955.1,Tdp43
NONMMUG048956.1,Fus
NONMMUG048956.1,Tdp43
NONMMUG048957.1,Fus
NONMMUG048957.1,Tdp43
NONMMUG048958.1,Tdp43
NONMMUG048958.1,Fus
NONMMUG048959.1,Tdp43
NONMMUG048959.1,Fus
NONMMUG048960.1,Tdp43
NONMMUG048960.1,Fus
NONMMUG048961.1,Fus
NONMMUG048961.1,Tdp43
NONMMUG048962.1,Fus
NONMMUG048962.1,Tdp43
NONMMUG048963.1,Upf1
NONMMUG048963.1,Tdp43
NONMMUG048963.1,Fus
NONMMUG048964.1,Tdp43
NONMMUG048964.1,Fus
NONMMUG048965.1,Fus
NONMMUG048965.1,Tdp43
NONMMUG048966.1,Fus
NONMMUG048966.1,Tdp43
NONMMUG048967.1,Fus
NONMMUG048968.1,Fus
NONMMUG048968.1,Tdp43
NONMMUG048969.1,Fus
NONMMUG048969.1,Tdp43
NONMMUG048970.1,Fus
NONMMUG048970.1,Tdp43
