l_ID,p_ID
l00376,p01
l00376,p02
l00376,p03
l00376,p00
l00376,p08
l00376,p05
l00376,p18
l00376,p06
l00377,p03
l00377,p02
l00377,p06
l00378,p03
l00378,p00
l00378,p06
l00379,p03
l00380,p02
l00380,p01
l00380,p06
l00381,p02
l00381,p01
l00382,p00
l00382,p02
l00382,p01
l00383,p02
l00383,p01
l00384,p02
l00385,p00
l00385,p01
l00385,p05
l00385,p02
l00385,p06
l00385,p17
l00385,p15
l00385,p23
l00386,p02
l00387,p03
l00387,p01
l00387,p02
l00388,p00
l00388,p02
l00388,p03
l00389,p03
l00389,p00
l00389,p01
l00389,p06
l00389,p02
l00389,p05
l00389,p18
l00390,p00
l00390,p14
l00390,p01
l00391,p02
l00391,p01
l00391,p06
l00392,p02
l00392,p01
l00392,p06
l00393,p02
l00393,p01
l00394,p02
l00394,p01
l00395,p02
l00396,p01
l00396,p02
l00396,p05
l00396,p18
l00397,p02
l00397,p01
l00397,p05
l00397,p06
l00398,p00
l00398,p02
l00398,p01
l00398,p35
l00399,p00
l00399,p02
l00399,p01
l00400,p01
l00401,p01
l00402,p01
l00403,p00
l00404,p06
l00404,p01
l00404,p02
l00405,p01
l00405,p02
l00405,p05
l00405,p06
l00405,p17
l00405,p15
l00405,p25
l00405,p11
l00405,p10
l00405,p16
l00405,p33
l00405,p34
l00405,p19
l00406,p25
l00406,p11
l00407,p00
l00407,p07
l00407,p02
l00407,p06
l00408,p00
l00408,p06
l00408,p02
l00408,p01
l00409,p00
l00409,p02
l00409,p05
l00409,p01
l00409,p06
l00410,p02
l00410,p05
l00410,p01
l00410,p06
l00411,p00
l00411,p06
l00411,p02
l00411,p01
l00412,p02
l00413,p07
l00413,p02
l00414,p07
l00414,p01
l00414,p02
l00415,p07
l00415,p01
l00415,p02
l00416,p02
l00416,p14
l00416,p17
l00416,p15
l00416,p16
l00417,p02
l00417,p01
l00418,p02
l00418,p01
l00419,p18
l00420,p06
l00420,p01
l00420,p14
l00420,p15
l00420,p33
l00420,p34
l00420,p19
l00420,p11
l00420,p17
l00421,p02
l00421,p01
l00422,p01
l00423,p01
l00423,p02
l00423,p26
l00423,p05
l00423,p06
l00423,p10
l00423,p11
l00423,p12
l00423,p14
