NoncodeGeneID,LncbookGeneID,l_ID
NONHSAG104838.1,HSALNG0001659,l00503
NONHSAG000668.2,HSALNG0001660,l00504
-,HSALNG0001661,l00505
NONHSAG000671.2,HSALNG0001664,l00506
-,HSALNG0001668,l00507
-,HSALNG0001676,l00508
NONHSAG056228.1,HSALNG0001677,l00509
NONHSAG000681.2,HSALNG0001684,l00510
-,HSALNG0001686,l00511
-,HSALNG0001687,l00512
-,HSALNG0001690,l00513
-,HSALNG0001696,l00514
-,HSALNG0001704,l00515
-,HSALNG0001705,l00516
NONHSAG000690.2,HSALNG0001706,l00517
-,HSALNG0001711,l00518
-,HSALNG0001712,l00519
NONHSAG000696.2,HSALNG0001713,l00520
NONHSAG000697.2,HSALNG0001714,l00521
-,HSALNG0001716,l00522
-,HSALNG0001720,l00523
-,HSALNG0001722,l00524
-,HSALNG0001726,l00525
-,HSALNG0001727,l00526
-,HSALNG0001728,l00527
-,HSALNG0141702,l00528
-,HSALNG0001735,l00529
NONHSAG056231.1,HSALNG0001739,l00530
-,HSALNG0142138,l00531
NONHSAG057590.1,HSALNG0001753,l00532
NONHSAG000712.2,HSALNG0001754,l00533
-,HSALNG0141703,l00534
NONHSAG000714.2,HSALNG0001755,l00535
-,HSALNG0001756,l00536
-,HSALNG0001757,l00537
NONHSAG000717.3,HSALNG0001761,l00538
-,HSALNG0001764,l00539
-,HSALNG0001765,l00540
-,HSALNG0001766,l00541
-,HSALNG0141704,l00542
-,HSALNG0001775,l00543
-,HSALNG0001782,l00544
-,HSALNG0001783,l00545
NONHSAG056236.1,HSALNG0001785,l00546
-,HSALNG0001787,l00547
NONHSAG056237.1,HSALNG0001788,l00548
-,HSALNG0001789,l00549
-,HSALNG0001790,l00550
-,HSALNG0001791,l00551
-,HSALNG0142140,l00552
-,HSALNG0001792,l00553
-,HSALNG0001794,l00554
-,HSALNG0001795,l00555
-,HSALNG0001796,l00556
-,HSALNG0142141,l00557
-,HSALNG0001798,l00558
-,HSALNG0001801,l00559
-,HSALNG0001803,l00560
-,HSALNG0001804,l00561
-,HSALNG0142142,l00562
-,HSALNG0001810,l00563
-,HSALNG0001812,l00564
-,HSALNG0001821,l00565
-,HSALNG0001824,l00566
-,HSALNG0142144,l00567
-,HSALNG0001828,l00568
NONHSAG104845.1,HSALNG0001829,l00569
-,HSALNG0141706,l00570
NONHSAG000749.2,HSALNG0001845,l00571
-,HSALNG0001846,l00572
-,HSALNG0001847,l00573
NONHSAG000754.2,HSALNG0001857,l00574
-,HSALNG0001860,l00575
-,HSALNG0001865,l00576
-,HSALNG0001864,l00577
NONHSAG000760.2,HSALNG0001868,l00578
-,HSALNG0001872,l00579
-,HSALNG0001876,l00580
NONHSAG000767.2,HSALNG0001885,l00581
-,HSALNG0001886,l00582
-,HSALNG0001890,l00583
-,HSALNG0001891,l00584
-,HSALNG0001911,l00585
-,HSALNG0001913,l00586
-,HSALNG0001922,l00587
NONHSAG056246.1,HSALNG0001926,l00588
NONHSAG000780.2,HSALNG0001928,l00589
-,HSALNG0001934,l00590
-,HSALNG0141709,l00591
-,HSALNG0001944,l00592
-,HSALNG0001945,l00593
NONHSAG000787.2,HSALNG0001947,l00594
-,HSALNG0001951,l00595
-,HSALNG0001960,l00596
-,HSALNG0001966,l00597
-,HSALNG0001969,l00598
-,HSALNG0001971,l00599
-,HSALNG0001973,l00600
NONHSAG000807.2,HSALNG0001991,l00601
-,HSALNG0001996,l00602
NONHSAG000808.2,HSALNG0001997,l00603
NONHSAG057612.1,HSALNG0001998,l00604
-,HSALNG0002001,l00605
-,HSALNG0002009,l00606
-,HSALNG0002010,l00607
-,HSALNG0142150,l00608
-,HSALNG0002012,l00609
NONHSAG000816.2,HSALNG0002017,l00610
-,HSALNG0142151,l00611
NONHSAG057618.1,HSALNG0002020,l00612
NONHSAG105332.1,HSALNG0002022,l00613
-,HSALNG0002026,l00614
-,HSALNG0002028,l00615
-,HSALNG0002029,l00616
NONHSAG000822.2,HSALNG0002031,l00617
NONHSAG057620.1,HSALNG0002033,l00618
NONHSAG000824.2,HSALNG0002034,l00619
-,HSALNG0002035,l00620
NONHSAG000828.2,HSALNG0002043,l00621
-,HSALNG0002045,l00622
-,HSALNG0002047,l00623
-,HSALNG0002066,l00624
NONHSAG000837.2,HSALNG0002068,l00625
-,HSALNG0141713,l00626
-,HSALNG0002075,l00627
-,HSALNG0002081,l00628
NONHSAG000844.2,HSALNG0002086,l00629
-,HSALNG0002090,l00630
-,HSALNG0002091,l00631
NONHSAG000849.2,HSALNG0002092,l00632
-,HSALNG0002093,l00633
NONHSAG056259.1,HSALNG0002094,l00634
NONHSAG056260.1,HSALNG0002095,l00635
NONHSAG057629.1,HSALNG0002099,l00636
-,HSALNG0002102,l00637
NONHSAG000852.2,HSALNG0002104,l00638
NONHSAG000853.2,HSALNG0002105,l00639
-,HSALNG0141714,l00640
-,HSALNG0002113,l00641
-,HSALNG0002114,l00642
NONHSAG105342.1,HSALNG0002115,l00643
-,HSALNG0002116,l00644
-,HSALNG0141715,l00645
-,HSALNG0002120,l00646
-,HSALNG0002123,l00647
-,HSALNG0002130,l00648
-,HSALNG0142154,l00649
NONHSAG057631.1,HSALNG0002131,l00650
NONHSAG000863.2,HSALNG0002132,l00651
-,HSALNG0002133,l00652
