NoncodeGeneID,LncbookGeneID,l_ID
NONHSAG013248.2,HSALNG0096410,l00250
NONHSAG000625.2,HSALNG0001554,l00251
NONHSAG013310.3,HSALNG0096589,l00252
NONHSAG013467.2,HSALNG0096938,l00253
NONHSAG013836.2,HSALNG0098098,l00254
NONHSAG014743.2,HSALNG0100687,l00255
NONHSAG015185.2,HSALNG0101787,l00256
NONHSAG069292.1,HSALNG0102207,l00257
NONHSAG015377.2,HSALNG0102272,l00258
NONHSAG015514.2,-,l00259
NONHSAG015788.3,HSALNG0103422,l00260
NONHSAG014425.3,HSALNG0099887,l00261
NONHSAG014606.2,-,l00262
NONHSAG015285.2,HSALNG0102056,l00263
NONHSAG015349.2,HSALNG0102220,l00264
NONHSAG015798.3,HSALNG0103440,l00265
NONHSAG107762.1,HSALNG0144291,l00266
NONHSAG017672.3,HSALNG0107711,l00267
NONHSAG016257.2,HSALNG0104470,l00268
NONHSAG016388.2,HSALNG0104730,l00269
NONHSAG070857.2,HSALNG0107133,l00270
NONHSAG003507.3,HSALNG0008549,l00271
NONHSAG017937.2,HSALNG0108240,l00272
NONHSAG018859.2,-,l00273
NONHSAG019129.2,HSALNG0110809,l00274
NONHSAG019162.3,HSALNG0110874,l00275
NONHSAG018392.3,HSALNG0109122,l00276
NONHSAG108238.1,HSALNG0111510,l00277
NONHSAG072234.1,HSALNG0112429,l00278
NONHSAG020012.2,HSALNG0144958,l00279
NONHSAG020112.2,HSALNG0113028,l00280
NONHSAG021404.3,HSALNG0115649,l00281
NONHSAG021479.3,HSALNG0115778,l00282
NONHSAG073685.1,HSALNG0116615,l00283
NONHSAG021978.3,HSALNG0116845,l00284
NONHSAG073745.1,HSALNG0117501,l00285
NONHSAG022342.2,HSALNG0117739,l00286
NONHSAG022365.2,HSALNG0117790,l00287
NONHSAG022532.3,HSALNG0118178,l00288
NONHSAG020474.3,HSALNG0113835,l00289
NONHSAG073468.1,HSALNG0113871,l00290
NONHSAG073623.1,HSALNG0115923,l00291
NONHSAG021608.2,HSALNG0116036,l00292
NONHSAG022043.2,-,l00293
NONHSAG022089.3,-,l00294
NONHSAG022343.2,HSALNG0117742,l00295
NONHSAG022523.2,HSALNG0118162,l00296
NONHSAG023149.3,-,l00297
NONHSAG023459.3,HSALNG0145429,l00298
NONHSAG023688.2,-,l00299
NONHSAG024039.2,HSALNG0121969,l00300
NONHSAG023503.2,HSALNG0120330,l00301
NONHSAG025366.2,HSALNG0125062,l00302
NONHSAG076498.2,HSALNG0125779,l00303
NONHSAG076451.2,HSALNG0125160,l00304
NONHSAG025535.3,HSALNG0125532,l00305
NONHSAG025543.3,HSALNG0125540,l00306
NONHSAG025583.3,HSALNG0125628,l00307
NONHSAG025829.2,HSALNG0126090,l00308
NONHSAG076199.1,HSALNG0126748,l00309
NONHSAG026692.3,HSALNG0127898,l00310
NONHSAG027346.2,HSALNG0013848,l00311
NONHSAG004393.3,HSALNG0010860,l00312
NONHSAG077319.2,HSALNG0014694,l00313
NONHSAG077650.1,HSALNG0017946,l00314
NONHSAG029066.3,HSALNG0018234,l00315
NONHSAG077706.2,HSALNG0018445,l00316
NONHSAG029956.2,HSALNG0020713,l00317
NONHSAG030056.3,HSALNG0020963,l00318
NONHSAG000838.3,HSALNG0141713,l00319
NONHSAG004522.3,HSALNG0011199,l00320
NONHSAG078240.1,-,l00321
NONHSAG110066.1,-,l00322
NONHSAG026974.3,HSALNG0012946,l00323
NONHSAG004626.3,HSALNG0011461,l00324
NONHSAG027873.3,HSALNG0015289,l00325
NONHSAG078750.1,HSALNG0015446,l00326
NONHSAG027991.3,HSALNG0015527,l00327
NONHSAG028114.2,HSALNG0015800,l00328
NONHSAG078857.2,HSALNG0016706,l00329
NONHSAG029023.2,HSALNG0018078,l00330
NONHSAG004815.3,HSALNG0011969,l00331
NONHSAG030017.3,HSALNG0020843,l00332
NONHSAG079293.2,HSALNG0020923,l00333
NONHSAG030085.2,HSALNG0021068,l00334
NONHSAG030336.3,HSALNG0021780,l00335
NONHSAG030633.2,HSALNG0022521,l00336
NONHSAG031537.3,HSALNG0129401,l00337
NONHSAG031831.3,HSALNG0130291,l00338
NONHSAG031084.2,HSALNG0128038,l00339
NONHSAG081884.1,HSALNG0129408,l00340
NONHSAG000447.3,HSALNG0142122,l00341
NONHSAG081505.1,HSALNG0129980,l00342
NONHSAG000477.3,HSALNG0001183,l00343
NONHSAG032716.2,-,l00344
NONHSAG032813.2,HSALNG0133003,l00345
NONHSAG032912.2,HSALNG0133215,l00346
NONHSAG032399.3,HSALNG0131961,l00347
NONHSAG032551.3,HSALNG0132361,l00348
NONHSAG032559.2,HSALNG0132380,l00349
NONHSAG032610.3,HSALNG0132515,l00350
NONHSAG032760.3,HSALNG0132900,l00351
NONHSAG033348.2,HSALNG0134192,l00352
NONHSAG033376.3,HSALNG0134241,l00353
NONHSAG033536.2,-,l00354
NONHSAG033589.3,HSALNG0134655,l00355
NONHSAG083799.1,HSALNG0135970,l00356
NONHSAG033608.2,HSALNG0134751,l00357
NONHSAG034006.3,HSALNG0135614,l00358
