NoncodeGeneID,LncbookGeneID,l_ID
NONHSAG102125.1,HSALNG0072649,l000188
NONHSAG053004.2,HSALNG0073160,l000189
NONHSAG053208.3,HSALNG0073754,l000190
NONHSAG053231.2,-,l000191
NONHSAG053761.2,HSALNG0075159,l000192
NONHSAG004247.3,HSALNG0010403,l000193
NONHSAG004270.2,-,l000194
NONHSAG058469.1,HSALNG0010565,l000195
NONHSAG054360.3,HSALNG0137651,l000196
NONHSAG055113.2,HSALNG0139555,l000197
NONHSAG103609.1,HSALNG0140423,l000198
NONHSAG058513.1,HSALNG0011004,l000199
NONHSAG055315.3,HSALNG0140165,l000200
NONHSAG055613.2,-,l000201
NONHSAG055863.2,HSALNG0141379,l000202
NONHSAG001438.3,HSALNG0003546,l000203
NONHSAG004569.2,HSALNG0142446,l000204
NONHSAG004797.2,HSALNG0011933,l000205
NONHSAG005499.3,HSALNG0076970,l000206
NONHSAG006244.2,HSALNG0078904,l000207
NONHSAG006339.2,HSALNG0079152,l000208
NONHSAG006406.2,HSALNG0079377,l000209
NONHSAG005269.2,HSALNG0076282,l000210
NONHSAG001774.3,HSALNG0004322,l000211
NONHSAG006187.2,HSALNG0078815,l000212
NONHSAG006189.2,-,l000213
NONHSAG006219.3,HSALNG0078868,l000214
NONHSAG006526.3,HSALNG0079677,l000215
NONHSAG006796.3,HSALNG0080427,l000216
NONHSAG006979.3,HSALNG0080995,l000217
NONHSAG007233.3,HSALNG0081843,l000218
NONHSAG062720.2,HSALNG0083346,l000219
NONHSAG008478.2,HSALNG0084532,l000220
NONHSAG009142.2,HSALNG0143028,l000221
NONHSAG007431.3,HSALNG0082235,l000222
NONHSAG008624.2,HSALNG0084814,l000223
NONHSAG009228.3,HSALNG0086125,l000224
NONHSAG009373.2,-,l000225
NONHSAG009700.3,-,l000226
NONHSAG009800.3,HSALNG0087606,l000227
NONHSAG064562.2,HSALNG0089050,l000228
NONHSAG010634.2,HSALNG0089698,l000229
NONHSAG011503.3,HSALNG0091856,l000230
NONHSAG106841.1,HSALNG0094493,l000231
NONHSAG012505.3,HSALNG0094500,l000232
NONHSAG010200.3,HSALNG0088600,l000233
NONHSAG010668.2,HSALNG0089823,l000234
NONHSAG065364.2,HSALNG0090059,l000235
NONHSAG010777.2,HSALNG0090090,l000236
NONHSAG011576.3,HSALNG0092070,l000237
NONHSAG012182.3,HSALNG0093754,l000238
NONHSAG002433.2,-,l000239
NONHSAG000536.3,HSALNG0001365,l000240
NONHSAG012899.3,-,l000241
NONHSAG013269.2,-,l000242
NONHSAG013349.3,HSALNG0096679,l000243
NONHSAG002552.2,HSALNG0006385,l000244
NONHSAG002553.2,HSALNG0006386,l000245
NONHSAG013847.3,HSALNG0098147,l000246
NONHSAG012900.2,HSALNG0095472,l000247
NONHSAG110797.1,HSALNG0131768,l000248
NONHSAG013038.2,-,l000249
NONHSAG013098.2,HSALNG0095998,l000250
NONHSAG107306.1,HSALNG0096225,l000251
NONHSAG013248.2,HSALNG0096410,l000252
NONHSAG000625.2,HSALNG0001554,l000253
NONHSAG013310.3,HSALNG0096589,l000254
NONHSAG013467.2,HSALNG0096938,l000255
NONHSAG013836.2,HSALNG0098098,l000256
NONHSAG014743.2,HSALNG0100687,l000257
NONHSAG015185.2,HSALNG0101787,l000258
NONHSAG069292.1,HSALNG0102207,l000259
NONHSAG015377.2,HSALNG0102272,l000260
NONHSAG015514.2,-,l000261
NONHSAG015788.3,HSALNG0103422,l000262
NONHSAG014425.3,HSALNG0099887,l000263
NONHSAG014606.2,-,l000264
NONHSAG015285.2,HSALNG0102056,l000265
NONHSAG015349.2,HSALNG0102220,l000266
NONHSAG015798.3,HSALNG0103440,l000267
NONHSAG107762.1,HSALNG0144291,l000268
NONHSAG017672.3,HSALNG0107711,l000269
NONHSAG016257.2,HSALNG0104470,l000270
NONHSAG016388.2,HSALNG0104730,l000271
NONHSAG070857.2,HSALNG0107133,l000272
NONHSAG003507.3,HSALNG0008549,l000273
NONHSAG017937.2,HSALNG0108240,l000274
NONHSAG018859.2,-,l000275
NONHSAG019129.2,HSALNG0110809,l000276
NONHSAG019162.3,HSALNG0110874,l000277
NONHSAG018392.3,HSALNG0109122,l000278
NONHSAG108238.1,HSALNG0111510,l000279
NONHSAG072234.1,HSALNG0112429,l000280
NONHSAG020012.2,HSALNG0144958,l000281
NONHSAG020112.2,HSALNG0113028,l000282
NONHSAG021404.3,HSALNG0115649,l000283
NONHSAG021479.3,HSALNG0115778,l000284
NONHSAG073685.1,HSALNG0116615,l000285
NONHSAG021978.3,HSALNG0116845,l000286
NONHSAG073745.1,HSALNG0117501,l000287
NONHSAG022342.2,HSALNG0117739,l000288
NONHSAG022365.2,HSALNG0117790,l000289
NONHSAG022532.3,HSALNG0118178,l000290
NONHSAG020474.3,HSALNG0113835,l000291
NONHSAG073468.1,HSALNG0113871,l000292
NONHSAG073623.1,HSALNG0115923,l000293
NONHSAG021608.2,HSALNG0116036,l000294
NONHSAG022043.2,-,l000295
NONHSAG022089.3,-,l000296
NONHSAG022343.2,HSALNG0117742,l000297
NONHSAG022523.2,HSALNG0118162,l000298
NONHSAG023149.3,-,l000299
NONHSAG023459.3,HSALNG0145429,l000300
NONHSAG023688.2,-,l000301
NONHSAG024039.2,HSALNG0121969,l000302
NONHSAG023503.2,HSALNG0120330,l000303
NONHSAG025366.2,HSALNG0125062,l000304
NONHSAG076498.2,HSALNG0125779,l000305
NONHSAG076451.2,HSALNG0125160,l000306
NONHSAG025535.3,HSALNG0125532,l000307
NONHSAG025543.3,HSALNG0125540,l000308
NONHSAG025583.3,HSALNG0125628,l000309
NONHSAG025829.2,HSALNG0126090,l000310
NONHSAG076199.1,HSALNG0126748,l000311
NONHSAG026692.3,HSALNG0127898,l000312
NONHSAG027346.2,HSALNG0013848,l000313
NONHSAG004393.3,HSALNG0010860,l000314
NONHSAG077319.2,HSALNG0014694,l000315
NONHSAG077650.1,HSALNG0017946,l000316
NONHSAG029066.3,HSALNG0018234,l000317
NONHSAG077706.2,HSALNG0018445,l000318
NONHSAG029956.2,HSALNG0020713,l000319
NONHSAG030056.3,HSALNG0020963,l000320
NONHSAG000838.3,HSALNG0141713,l000321
NONHSAG004522.3,HSALNG0011199,l000322
NONHSAG078240.1,-,l000323
NONHSAG110066.1,-,l000324
NONHSAG026974.3,HSALNG0012946,l000325
NONHSAG004626.3,HSALNG0011461,l000326
NONHSAG027873.3,HSALNG0015289,l000327
NONHSAG078750.1,HSALNG0015446,l000328
NONHSAG027991.3,HSALNG0015527,l000329
NONHSAG028114.2,HSALNG0015800,l000330
NONHSAG078857.2,HSALNG0016706,l000331
NONHSAG029023.2,HSALNG0018078,l000332
NONHSAG004815.3,HSALNG0011969,l000333
NONHSAG030017.3,HSALNG0020843,l000334
NONHSAG079293.2,HSALNG0020923,l000335
NONHSAG030085.2,HSALNG0021068,l000336
NONHSAG030336.3,HSALNG0021780,l000337
NONHSAG030633.2,HSALNG0022521,l000338
NONHSAG031537.3,HSALNG0129401,l000339
NONHSAG031831.3,HSALNG0130291,l000340
NONHSAG031084.2,HSALNG0128038,l000341
NONHSAG081884.1,HSALNG0129408,l000342
NONHSAG000447.3,HSALNG0142122,l000343
NONHSAG081505.1,HSALNG0129980,l000344
NONHSAG000477.3,HSALNG0001183,l000345
NONHSAG032716.2,-,l000346
NONHSAG032813.2,HSALNG0133003,l000347
NONHSAG032912.2,HSALNG0133215,l000348
NONHSAG032399.3,HSALNG0131961,l000349
NONHSAG032551.3,HSALNG0132361,l000350
NONHSAG032559.2,HSALNG0132380,l000351
NONHSAG032610.3,HSALNG0132515,l000352
NONHSAG032760.3,HSALNG0132900,l000353
NONHSAG033348.2,HSALNG0134192,l000354
NONHSAG033376.3,HSALNG0134241,l000355
NONHSAG033536.2,-,l000356
NONHSAG033589.3,HSALNG0134655,l000357
NONHSAG083799.1,HSALNG0135970,l000358
NONHSAG033608.2,HSALNG0134751,l000359
NONHSAG034006.3,HSALNG0135614,l000360
NONHSAG034087.2,HSALNG0135800,l000361
NONHSAG034128.3,HSALNG0135916,l000362
NONHSAG000831.3,HSALNG0002045,l000363
NONHSAG035165.2,HSALNG0026136,l000364
NONHSAG111538.1,HSALNG0027549,l000365
NONHSAG035626.2,HSALNG0027641,l000366
NONHSAG085701.1,HSALNG0028356,l000367
NONHSAG084937.2,HSALNG0028800,l000368
NONHSAG111412.1,HSALNG0031819,l000369
NONHSAG035158.2,HSALNG0026119,l000370
NONHSAG001118.2,HSALNG0002774,l000371
NONHSAG035347.3,HSALNG0026614,l000372
NONHSAG035369.2,HSALNG0026692,l000373
NONHSAG035786.3,-,l000374
NONHSAG001304.2,HSALNG0003266,l000375
NONHSAG036309.2,HSALNG0029620,l000376
NONHSAG010307.2,HSALNG0088866,l000377
NONHSAG023844.3,HSALNG0121509,l000378
NONHSAG002325.2,HSALNG0005856,l000379
NONHSAG008552.3,HSALNG0084672,l000380
NONHSAG031750.3,HSALNG0129985,l000381
NONHSAG000840.3,HSALNG0002075,l000382
NONHSAG044283.3,HSALNG0051708,l000383
NONHSAG006674.3,HSALNG0080088,l000384
NONHSAG004699.2,HSALNG0011683,l000385
NONHSAG021674.2,-,l000386
NONHSAG047803.3,HSALNG0058515,l000387
NONHSAG003091.2,HSALNG0007532,l000388
-,HSALNG0114322,l000389
NONHSAG012033.2,-,l000390
NONHSAG084575.1,-,l000391
NONHSAG053479.2,HSALNG0074500,l000392
NONHSAG076023.1,-,l000393
NONHSAG050843.2,HSALNG0067185,l000394
NONHSAG000835.3,HSALNG0002066,l000395
NONHSAG079454.2,-,l000396
NONHSAG022495.3,HSALNG0118080,l000397
NONHSAG036052.3,HSALNG0028888,l000398
NONHSAG009374.2,HSALNG0086485,l000399
-,HSALNG0012976,l000400
-,HSALNG0021600,l000401
NONHSAG069030.2,HSALNG0103778,l000402
NONHSAG016307.3,HSALNG0104546,l000403
NONHSAG014360.2,HSALNG0099781,l000404
-,HSALNG0064469,l000405
-,HSALNG0082920,l000406
NONHSAG009897.2,HSALNG0087806,l000407
NONHSAG017225.2,-,l000408
NONHSAG026242.2,-,l000409
NONHSAG021328.2,HSALNG0115504,l000410
NONHSAG056405.1,HSALNG0003204,l000411
NONHSAG093126.1,HSALNG0049337,l000412
NONHSAG021329.3,HSALNG0115505,l000413
NONHSAG050272.2,HSALNG0065452,l000414
-,HSALNG0128202,l000415
NONHSAG023837.2,HSALNG0121483,l000416
NONHSAG018315.3,HSALNG0108990,l000417
-,HSALNG0045190,l000418
NONHSAG020350.2,-,l000419
NONHSAG040258.2,HSALNG0041392,l000420
NONHSAG036783.3,HSALNG0031034,l000421
